GB02,ISIC02
6546,5239
6547,5239
6547,5240
6548,5239
6549,5239
,
6551,5231
6552,5231
,
6561,5010
6562,5030
6563,5040
6564,5050
,
6571,5233
6572,5239
6573,5239
6579,5239
,
6581,5234
6582,5233
6583,5234
6589,5239
,
6591,5252
6592,5251
6593,5239
6594,5239
6595,5240
6599,5259
 ,5239
,
6610,5510
6620,5510
6690,5510
,
6710,5520
6720,5520
6730,5520
6790,5520
,
,
6810,6511
6820,6519
6890,6592
,
6910,6711
6920,6712
6930,6599
6940,6719
,
7010,6601
7010,6602
7020,6603
7030,6720
,
7110,6712
7120,6591
7130,6719
7140,6519
7150,6592
7190,6719
,
,
7210,7010
7220,7220
7230,7220
7290,7220
,
,
,
7311,7111
7312,7121
7313,7122
7314,7123
7319,7129
7319,7112
7319,7113
7321,7130
7329,7130
,
 ,
7411,7414
7412,7414
7419,7414
,
7421,7411
7422,7411
7429,7411
,
7431,7412
7432,7413
7433,7414
7439,7414
7440,7430
7450,7499
7460,7491
7470,7499
7480,6304
,
7491,7499
7492,7495
7493,7592
7494,7499
7499,7499
,
,
7510,7310
7520,7310
7530,7310
7540,7310
7550,7320
,
7610,7421
7620,7421
7630,7421
7640,7421
7650,7422
7660,7422
,
7671,7421
7672,7421
7673,7421
7690,7421
,
7710,7414
7720,7414
7790,7414
,
,
7811,7421
7812,7421
7819,7421
7820,7421
7830,7421
,
,
7910,4100
 ,
7921,4100
7922,4100
7929,4100
7990,4100
,
,
8011,9233
8012,9233
8019,9233
,
8021,7512
8022,9000
8023,9000
8024,9000
8029,9000
,
8110,7512
8110,4520
8120,140
,
8131,9233
8132,9233
8132,140
8139,9233
,
,
8210,9500
8220,8532
8230,9301
8240,9302
8250,9309
8260,9309
8270,9303
8280,7494
8290,9309
,
,
8311,5020
8312,7250
8313,5260
8319,5260
,
8321,7493
8329,7493
8329,9301
8390,9309
,
,
8410,8010
8420,8010
,
8431,8021
8432,8021
8433,8021
8434,8022
8435,8022
8439,8090
8439,7523
8441,8030
8442,8090
,
8491,8090
8492,8010
8499,8090
,
,
,
8511,8511
8512,8511
8513,8512
8514,8513
8515,8514
8516,8515
8520,8512
8530,8512
8540,8519
8550,8519
8560,8519
8570,8519
8590,8519
,
8600,7530
,
,
8711,8531
8712,8531
8720,8532
,
,
8810,9220
,
