S_2011,S_2017,pdf_page,source_line
1752,1752,102,1752 化纤织物染整精加工 1752 化纤织物染整精加工
1761,1761,102,1761 针织或钩针编织物织造 1761 针织或钩针编织物织造
1762,1762,102,1762 针织或钩针编织物印染精加 1762 针织或钩针编织物印染精加工
1763,1763,102,1763 针织或钩针编织品制造 1763 针织或钩针编织品制造
1771,1771,102,1771 床上用品制造 1771 床上用品制造
1772,1772,102,1772 毛巾类制品制造 1772 毛巾类制品制造
1773,1773,102,1773 窗帘、布艺类产品制造 1773 窗帘、布艺类产品制造
1779,1779,102,1779 其他家用纺织制成品制造 1779 其他家用纺织制成品制造
1781,1781,102,1781 非织造布制造 1781 非织造布制造
1782,1782,102,1782 绳、索、缆制造 1782 绳、索、缆制造
1783,1783,102,1783 纺织带和帘子布制造 1783 纺织带和帘子布制造
1784,1784,102,1784 篷、帆布制造 1784 篷、帆布制造
1789,1789,102,1789 其他产业用纺织制成品制造 1789 其他非家用纺织制成品制造 更名
1810,1811,102,1811 运动机织服装制造 1810 机织服装制造 新增，将原 1810 分解
1810,1819,102,1819 其他机织服装制造 1810 机织服装制造 新增，将原 1810 分解
1820,1821,102,1821 运动休闲针织服装制造 1820 针织或钩针编织服装制造 新增，将原 1820 分解
1820,1829,102,1829 其他针织或钩针编织服装制 1820 针织或钩针编织服装制造 新增，将原 1820 分解
1830,1830,103,1830 服饰制造 1830 服饰制造
1910,1910,103,1910 皮革鞣制加工 1910 皮革鞣制加工
1921,1921,103,1921 皮革服装制造 1921 皮革服装制造
1922,1922,103,1922 皮箱、包(袋)制造 1922 皮箱、包(袋)制造
1923,1923,103,1923 皮手套及皮装饰制品制造 1923 皮手套及皮装饰制品制造
1929,1929,103,1929 其他皮革制品制造 1929 其他皮革制品制造
1931,1931,103,1931 毛皮鞣制加工 1931 毛皮鞣制加工
1932,1932,103,1932 毛皮服装加工 1932 毛皮服装加工
1939,1939,103,1939 其他毛皮制品加工 1939 其他毛皮制品加工
1941,1941,103,1941 羽毛(绒)加工 1941 羽毛(绒)加工
1942,1942,103,1942 羽毛(绒)制品加工 1942 羽毛(绒)制品加工
1951,1951,103,1951 纺织面料鞋制造 1951 纺织面料鞋制造
1952,1952,103,1952 皮鞋制造 1952 皮鞋制造
1953,1953,103,1953 塑料鞋制造 1953 塑料鞋制造
1954,1954,103,1954 橡胶鞋制造 1954 橡胶鞋制造
1959,1959,103,1959 其他制鞋业 1959 其他制鞋业
2011,2011,103,2011 锯材加工 2011 锯材加工
2012,2012,103,2012 木片加工 2012 木片加工
2013,2013,103,2013 单板加工 2013 单板加工
2019,2019,103,2019 其他木材加工 2019 其他木材加工
2021,2021,103,2021 胶合板制造 2021 胶合板制造
2022,2022,103,2022 纤维板制造 2022 纤维板制造
2023,2023,103,2023 刨花板制造 2023 刨花板制造
2029,2029,104,2029 其他人造板制造 2029 其他人造板制造
2031,2031,104,2031 建筑用木料及木材组件加工 2031 建筑用木料及木材组件加工
2032,2032,104,2032 木门窗制造 2032 木门窗、楼梯制造 新增，将原 2032 分解
2032,2033,104,2033 木楼梯制造 2032 木门窗、楼梯制造 新增，将原 2032 分解
2033,2034,104,2034 木地板制造 2033 地板制造 更名
2034,2035,104,2035 木制容器制造 2034 木制容器制造
2039,2039,104,2039 软木制品及其他木制品制造 2039 软木制品及其他木制品制造
2041,2041,104,2041 竹制品制造 2041 竹制品制造
2042,2042,104,2042 藤制品制造 2042 藤制品制造
2043,2043,104,2043 棕制品制造 2043 棕制品制造
2049,2049,104,2049 草及其他制品制造 2049 草及其他制品制造
2110,2110,104,2110 木质家具制造 2110 木质家具制造
2120,2120,104,2120 竹、藤家具制造 2120 竹、藤家具制造
2130,2130,104,2130 金属家具制造 2130 金属家具制造
2140,2140,104,2140 塑料家具制造 2140 塑料家具制造
2190,2190,104,2190 其他家具制造 2190 其他家具制造
2211,2211,104,2211 木竹浆制造 2211 木竹浆制造
2212,2212,104,2212 非木竹浆制造 2212 非木竹浆制造
2221,2221,104,2221 机制纸及纸板制造 2221 机制纸及纸板制造
2222,2222,104,2222 手工纸制造 2222 手工纸制造
2223,2223,104,2223 加工纸制造 2223 加工纸制造
2231,2231,104,2231 纸和纸板容器制造 2231 纸和纸板容器制造
2239,2239,104,2239 其他纸制品制造 2239 其他纸制品制造
2311,2311,104,2311 书、报刊印刷 2311 书、报刊印刷
2312,2312,104,2312 本册印制 2312 本册印制
2319,2319,105,2319 包装装潢及其他印刷 2319 包装装潢及其他印刷
2320,2320,105,2320 装订及印刷相关服务 2320 装订及印刷相关服务
2330,2330,105,2330 记录媒介复制 2330 记录媒介复制
2411,2411,105,2411 文具制造 2411 文具制造
2412,2412,105,2412 笔的制造 2412 笔的制造
2413,2413,105,2413 教学用模型及教具制造 2413 教学用模型及教具制造
2414,2414,105,2414 墨水、墨汁制造 2414 墨水、墨汁制造
2419,2419,105,2419 其他文教办公用品制造 2419 其他文教办公用品制造
2421,2421,105,2421 中乐器制造 2421 中乐器制造
2422,2422,105,2422 西乐器制造 2422 西乐器制造
2423,2423,105,2423 电子乐器制造 2423 电子乐器制造
2429,2429,105,2429 其他乐器及零件制造 2429 其他乐器及零件制造
2431,2431,105,2431 雕塑工艺品制造 2431 雕塑工艺品制造
2432,2432,105,2432 金属工艺品制造 2432 金属工艺品制造
2433,2433,105,2433 漆器工艺品制造 2433 漆器工艺品制造
2434,2434,105,2434 花画工艺品制造 2434 花画工艺品制造
2435,2435,105,2435 天然植物纤维编织工艺品制 2435 天然植物纤维编织工艺品制造
2436,2436,105,2436 抽纱刺绣工艺品制造 2436 抽纱刺绣工艺品制造
2437,2437,105,2437 地毯、挂毯制造 2437 地毯、挂毯制造
2438,2438,105,2438 珠宝首饰及有关物品制造 2438 珠宝首饰及有关物品制造
2439,2439,105,2439 其他工艺美术及礼仪用品制 2439 其他工艺美术品制造 更名
2441,2441,105,2441 球类制造 2441 球类制造
2442,2442,105,2442 专项运动器材及配件制造 2442 体育器材及配件制造 更名
2443,2443,105,2443 健身器材制造 2443 训练健身器材制造 更名
2444,2444,105,2444 运动防护用具制造 2444 运动防护用具制造
2449,2449,105,2449 其他体育用品制造 2449 其他体育用品制造
2450,2451,106,2451 电玩具制造 2450 玩具制造 新增，将原 2450 分解
2450,2452,106,2452 塑胶玩具制造 2450 玩具制造 新增，将原 2450 分解
2450,2453,106,2453 金属玩具制造 2450 玩具制造 新增，将原 2450 分解
2450,2454,106,2454 弹射玩具制造 2450 玩具制造 新增，将原 2450 分解
2450,2455,106,2455 娃娃玩具制造 2450 玩具制造 新增，将原 2450 分解
2450,2456,106,2456 儿童乘骑玩耍的童车类产品 2450 玩具制造 新增，将原 2450 分解
2450,2459,106,2459 其他玩具制造 2450 玩具制造 新增，将原 2450 分解
2461,2461,106,2461 露天游乐场所游乐设备制造 2461 露天游乐场所游乐设备制造
2462,2462,106,2462 游艺用品及室内游艺器材制 2462 游艺用品及室内游艺器材制造
2469,2469,106,2469 其他娱乐用品制造 2469 其他娱乐用品制造
2511,2511,106,2511 原油加工及石油制品制造 2511 原油加工及石油制品制造
2512,2519,106,2519 其他原油制造 2512 人造原油制造 新增，将原 2512 分解
2520,2521,106,2521 炼焦 2520 炼焦 调整，将 2520 部分内容调至
4500,2522,106,2522 煤制合成气生产 4500 燃气生产和供应业 新增，将原 4500、2520 中用于
2520,2523,106,2523 煤制液体燃料生产 2520 炼焦 新增，原 2520 部分内容调至此
4120,2524,106,2524 煤制品制造 4120 煤制品制造 调整，从原“41 其他制造业”
2520,2529,106,2529 其他煤炭加工 2520 炼焦 调整，原 2520 部分内容调到此
2530,2530,106,2530 核燃料加工 2530 核燃料加工
2512,2541,106,2541 生物质液体燃料生产 2512 人造原油制造 新增，将原 2512 分解
2512,2542,106,2542 生物质致密成型燃料加工 2512 人造原油制造 新增，将原 2512 分解
2611,2611,107,2611 无机酸制造 2611 无机酸制造
2612,2612,107,2612 无机碱制造 2612 无机碱制造
2613,2613,107,2613 无机盐制造 2613 无机盐制造
2614,2614,107,2614 有机化学原料制造 2614 有机化学原料制造
2619,2619,107,2619 其他基础化学原料制造 2619 其他基础化学原料制造
2621,2621,107,2621 氮肥制造 2621 氮肥制造
2622,2622,107,2622 磷肥制造 2622 磷肥制造
2623,2623,107,2623 钾肥制造 2623 钾肥制造
2624,2624,107,2624 复混肥料制造 2624 复混肥料制造
2625,2625,107,2625 有机肥料及微生物肥料制造 2625 有机肥料及微生物肥料制造
2629,2629,107,2629 其他肥料制造 2629 其他肥料制造
2631,2631,107,2631 化学农药制造 2631 化学农药制造
2632,2632,107,2632 生物化学农药及微生物农药 2632 生物化学农药及微生物农药制
2641,2641,107,2641 涂料制造 2641 涂料制造
2642,2642,107,2642 油墨及类似产品制造 2642 油墨及类似产品制造
2643,2643,107,2643 工业颜料制造 2643 颜料制造 新增，将原 2643 分解
2643,2644,107,2644 工艺美术颜料制造 2643 颜料制造 新增，将原 2643 分解
2644,2645,107,2645 染料制造 2644 染料制造
2645,2646,107,2646 密封用填料及类似品制造 2645 密封用填料及类似品制造
2651,2651,107,2651 初级形态塑料及合成树脂制 2651 初级形态塑料及合成树脂制造
2652,2652,107,2652 合成橡胶制造 2652 合成橡胶制造
2653,2653,107,2653 合成纤维单(聚合)体制造 2653 合成纤维单(聚合)体制造
2659,2659,107,2659 其他合成材料制造 2659 其他合成材料制造
2661,2661,107,2661 化学试剂和助剂制造 2661 化学试剂和助剂制造
2662,2662,108,2662 专项化学用品制造 2662 专项化学用品制造
2663,2663,108,2663 林产化学产品制造 2663 林产化学产品制造
2664,2664,108,2664 文化用信息化学品制造 2664 信息化学品制造 新增，将原 2664 分解
2664,2665,108,2665 医学生产用信息化学品制造 2664 信息化学品制造 新增，将原 2664 分解
