"hs_system","hs_level","hs_code","isic_revision","isic_level","isic_code","source"
"HS Combined","HS2","19","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","S","1531","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","S","1532","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","S","1541","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","S","1544","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","19","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","S","1513","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","S","1543","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","20","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","21","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","21","3","M","152","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","21","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","21","3","S","1520","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","21","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","M","154","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","M","155","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","S","1549","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","S","1551","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","S","1552","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","S","1553","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","22","3","S","1554","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","L","15","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","M","151","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","M","153","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","S","1511","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","S","1512","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","S","1514","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","S","1533","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","23","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","L","01","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","L","16","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","M","011","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","M","160","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","S","0111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","S","1600","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","24","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","L","14","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","L","26","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","M","141","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","M","142","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","M","269","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","1410","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","1421","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","1422","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","1429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","25","3","S","2694","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","L","12","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","L","13","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","L","14","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","L","99","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","120","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","131","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","132","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","142","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","M","999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","1200","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","1310","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","1320","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","1429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","26","3","S","9999","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","10","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","11","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","14","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","23","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","26","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","L","40","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","101","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","102","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","103","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","111","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","142","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","231","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","232","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","241","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","269","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","401","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","M","402","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","1010","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","1020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","1030","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","1110","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","1429","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","2310","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","2320","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","2411","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","2699","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","4010","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","27","3","S","4020","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","L","23","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","L","24","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","L","26","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","L","27","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","L","40","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","M","233","HS_Combined_ISIC_Rev3"
"HS Combined","HS2","28","3","M","241","HS_Combined_ISIC_Rev3"
