"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2011","2017","M","204","204","204","2011_2017"
"2011","2017","M","211","211","211","2011_2017"
"2011","2017","M","212","212","212","2011_2017"
"2011","2017","M","213","213","213","2011_2017"
"2011","2017","M","214","214","214","2011_2017"
"2011","2017","M","219","219","219","2011_2017"
"2011","2017","M","221","221","221","2011_2017"
"2011","2017","M","222","222","222","2011_2017"
"2011","2017","M","223","223","223","2011_2017"
"2011","2017","M","231","231","231","2011_2017"
"2011","2017","M","232","232","232","2011_2017"
"2011","2017","M","233","233","233","2011_2017"
"2011","2017","M","241","241","241","2011_2017"
"2011","2017","M","242","242","242","2011_2017"
"2011","2017","M","243","243","243","2011_2017"
"2011","2017","M","244","244","244","2011_2017"
"2011","2017","M","245","245","245","2011_2017"
"2011","2017","M","246","246","246","2011_2017"
"2011","2017","M","251","251","251","2011_2017"
"2011","2017","M","251","251","254","2011_2017"
"2011","2017","M","251","254","254","2011_2017"
"2011","2017","M","252","252","252","2011_2017"
"2011","2017","M","253","253","253","2011_2017"
"2011","2017","M","261","261","261","2011_2017"
"2011","2017","M","262","262","262","2011_2017"
"2011","2017","M","263","263","263","2011_2017"
"2011","2017","M","264","264","264","2011_2017"
"2011","2017","M","265","265","265","2011_2017"
"2011","2017","M","266","266","266","2011_2017"
"2011","2017","M","267","267","267","2011_2017"
"2011","2017","M","268","268","268","2011_2017"
"2011","2017","M","271","271","271","2011_2017"
"2011","2017","M","272","272","272","2011_2017"
"2011","2017","M","273","273","273","2011_2017"
"2011","2017","M","274","274","274","2011_2017"
"2011","2017","M","275","275","275","2011_2017"
"2011","2017","M","276","276","276","2011_2017"
"2011","2017","M","277","277","277","2011_2017"
"2011","2017","M","277","278","277","2011_2017"
"2011","2017","M","281","281","283","2011_2017"
"2011","2017","M","281","283","283","2011_2017"
"2011","2017","M","282","282","282","2011_2017"
"2011","2017","M","291","291","291","2011_2017"
"2011","2017","M","292","292","292","2011_2017"
"2011","2017","M","301","301","301","2011_2017"
"2011","2017","M","302","302","302","2011_2017"
"2011","2017","M","303","303","303","2011_2017"
"2011","2017","M","303","307","307","2011_2017"
"2011","2017","M","304","304","304","2011_2017"
"2011","2017","M","305","305","305","2011_2017"
"2011","2017","M","306","306","306","2011_2017"
"2011","2017","M","307","307","307","2011_2017"
"2011","2017","M","308","308","308","2011_2017"
"2011","2017","M","309","309","309","2011_2017"
"2011","2017","M","311","311","311","2011_2017"
"2011","2017","M","312","312","312","2011_2017"
"2011","2017","M","313","339","339","2011_2017"
"2011","2017","M","314","313","313","2011_2017"
"2011","2017","M","315","314","314","2011_2017"
"2011","2017","M","321","321","321","2011_2017"
"2011","2017","M","322","322","322","2011_2017"
"2011","2017","M","323","323","323","2011_2017"
"2011","2017","M","324","324","324","2011_2017"
"2011","2017","M","325","339","339","2011_2017"
"2011","2017","M","326","325","325","2011_2017"
"2011","2017","M","331","331","331","2011_2017"
"2011","2017","M","332","332","332","2011_2017"
"2011","2017","M","333","333","333","2011_2017"
"2011","2017","M","334","334","334","2011_2017"
"2011","2017","M","335","335","335","2011_2017"
"2011","2017","M","336","336","336","2011_2017"
"2011","2017","M","337","337","337","2011_2017"
"2011","2017","M","338","338","338","2011_2017"
"2011","2017","M","339","339","339","2011_2017"
"2011","2017","M","341","341","341","2011_2017"
"2011","2017","M","342","342","342","2011_2017"
"2011","2017","M","343","343","343","2011_2017"
"2011","2017","M","344","344","344","2011_2017"
"2011","2017","M","345","345","345","2011_2017"
"2011","2017","M","346","346","346","2011_2017"
"2011","2017","M","346","405","405","2011_2017"
"2011","2017","M","347","347","347","2011_2017"
"2011","2017","M","348","348","348","2011_2017"
"2011","2017","M","349","349","349","2011_2017"
"2011","2017","M","351","351","351","2011_2017"
"2011","2017","M","351","373","373","2011_2017"
"2011","2017","M","352","352","352","2011_2017"
"2011","2017","M","353","353","353","2011_2017"
"2011","2017","M","354","354","354","2011_2017"
"2011","2017","M","355","355","355","2011_2017"
"2011","2017","M","356","356","356","2011_2017"
"2011","2017","M","357","357","357","2011_2017"
"2011","2017","M","358","358","358","2011_2017"
"2011","2017","M","359","349","349","2011_2017"
"2011","2017","M","359","359","359","2011_2017"
"2011","2017","M","359","359","349","2011_2017"
"2011","2017","M","359","396","349","2011_2017"
"2011","2017","M","361","361","361","2011_2017"
"2011","2017","M","361","362","361","2011_2017"
"2011","2017","M","362","363","363","2011_2017"
"2011","2017","M","363","364","364","2011_2017"
"2011","2017","M","364","365","365","2011_2017"
"2011","2017","M","365","366","366","2011_2017"
"2011","2017","M","366","367","367","2011_2017"
"2011","2017","M","371","371","371","2011_2017"
"2011","2017","M","372","372","372","2011_2017"
"2011","2017","M","373","373","373","2011_2017"
"2011","2017","M","374","374","374","2011_2017"
"2011","2017","M","375","375","375","2011_2017"
"2011","2017","M","376","376","376","2011_2017"
"2011","2017","M","376","377","377","2011_2017"
"2011","2017","M","377","378","378","2011_2017"
"2011","2017","M","379","379","379","2011_2017"
"2011","2017","M","381","381","381","2011_2017"
"2011","2017","M","382","382","382","2011_2017"
"2011","2017","M","383","383","383","2011_2017"
"2011","2017","M","384","384","384","2011_2017"
"2011","2017","M","385","385","385","2011_2017"
"2011","2017","M","385","385","396","2011_2017"
"2011","2017","M","385","396","385","2011_2017"
"2011","2017","M","385","396","396","2011_2017"
"2011","2017","M","386","386","386","2011_2017"
"2011","2017","M","387","387","387","2011_2017"
"2011","2017","M","389","389","389","2011_2017"
"2011","2017","M","391","391","391","2011_2017"
"2011","2017","M","392","392","392","2011_2017"
"2011","2017","M","393","393","393","2011_2017"
"2011","2017","M","394","394","394","2011_2017"
"2011","2017","M","395","395","395","2011_2017"
"2011","2017","M","396","397","397","2011_2017"
"2011","2017","M","397","398","398","2011_2017"
"2011","2017","M","399","396","396","2011_2017"
"2011","2017","M","399","399","396","2011_2017"
"2011","2017","M","401","401","401","2011_2017"
"2011","2017","M","402","402","402","2011_2017"
"2011","2017","M","403","403","403","2011_2017"
"2011","2017","M","404","358","358","2011_2017"
"2011","2017","M","404","404","404","2011_2017"
"2011","2017","M","409","409","409","2011_2017"
"2011","2017","M","411","411","411","2011_2017"
"2011","2017","M","412","252","252","2011_2017"
"2011","2017","M","413","412","412","2011_2017"
"2011","2017","M","419","419","419","2011_2017"
"2011","2017","M","421","421","421","2011_2017"
