"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","19","3","M","191","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","M","192","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1511","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1721","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1810","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1820","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1911","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1912","GB_T_4754_2002_ISIC_Rev3"
"2002","L","19","3","S","1920","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","L","20","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","M","201","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","M","202","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","S","2010","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","S","2021","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","S","2022","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","S","2023","GB_T_4754_2002_ISIC_Rev3"
"2002","L","20","3","S","2029","GB_T_4754_2002_ISIC_Rev3"
"2002","L","21","3","L","36","GB_T_4754_2002_ISIC_Rev3"
"2002","L","21","3","M","361","GB_T_4754_2002_ISIC_Rev3"
"2002","L","21","3","S","3610","GB_T_4754_2002_ISIC_Rev3"
"2002","L","22","3","L","21","GB_T_4754_2002_ISIC_Rev3"
"2002","L","22","3","M","210","GB_T_4754_2002_ISIC_Rev3"
"2002","L","22","3","S","2101","GB_T_4754_2002_ISIC_Rev3"
"2002","L","22","3","S","2102","GB_T_4754_2002_ISIC_Rev3"
"2002","L","22","3","S","2109","GB_T_4754_2002_ISIC_Rev3"
"2002","L","23","3","L","22","GB_T_4754_2002_ISIC_Rev3"
